ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные продукты",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция
69,simple,157,"Сет Одисей",1,0,visible,,"<p>1.Тори унаги 8шт</p>
<p>2.Чиз ролл 8шт</p>
<p>3.Горячий Акамушу 8шт</p>
<p>4.Тизу лосось 8шт</p>
<p>5.Марокко 8 шт</p>
<p>Вес : 1100гр</p>",,,taxable,,1,,0,0,,,,,1,,950,1900,"Сеты по акции",,,,,,,,,,,,0
70,simple,153,"Сет Сидней",1,0,visible,,"<p>1.Азуми 8 шт.</p>
<p>2.Калифорния в кунжуте 8 шт .</p>
<p>3.Тамого 8 шт.</p>
<p>4.Лосось в кунжуте 8 шт.</p>
<p>5. Горячий Фудзиямо 8 шт.</p>
<p>6.Горячий Цезарь 8 шт.</p>
<p>7.Запеченный Мадагаскар 8 шт.</p>
<p>8.Запеченный Дзиро 8 шт.</p>
<p>Вес : 1700г.</p>",,,taxable,,1,,0,0,,,,,1,,1390,2780,"Сеты по акции",,,,,,,,,,,,0
71,simple,177,"Сет Мадрид",1,0,visible,,"<p>Горячий ролл Маэстро</p>
<p>Горячий ролл Юдзиро</p>
<p>Горячий ролл Сатори</p>
<p>Горячий ролл Хакайдо</p>
<p>Запеченный ролл Мидзу</p>
<p>Запеченный ролл Курамаки</p>
<p>Запеченный ролл с лососем</p>
<p>Запеченный ролл с кальмаром</p>
<p><br /></p>
<p>Вес: 1550 гр</p>",,,taxable,,1,,0,0,,,,,1,,1520,3040,"Сеты по акции",,,,,,,,,,,,0
72,simple,178,"Сет Милан",1,0,visible,,"<p>1.Калифорния с крабом</p>
<p>2.Филадельфия с угрем</p>
<p>3.Мадагаскар</p>
<p>4.Коллер с крабои</p>
<p>5.Коллер с лососем</p>
<p>6.Запеченный Азуми</p>
<p>7.Запеченный Микадо</p>
<p>8.Горячий Акамуши</p>
<p>9.Горячий Маэстро</p>
<p><br /></p>
<p>9 порций роллов. 5 запеченных. 2 горячих. 2холодных . &nbsp;Вес 1800 гр. 72-шт.</p>",,,taxable,,1,,0,0,,,,,1,,1660,3320,"Сеты по акции",,,,,,,,,,,,0
73,simple,182,"Сет Валентин",1,0,visible,,"<p>1. Запеченный ролл Сансей</p>
<p>2. Запеченный ролл Дзиро</p>
<p>3. Горячий ролл Хокайдо</p>
<p>4. Горячий ролл Акамуши</p>
<p>5. Ролл Флагман</p>
<p>6. Калифорния Краб</p>
<p>7. Лосось в кунжуте</p>
<p>Вес : 1450гр 7-порций. 56шт. &nbsp;Цена: 1450руб</p>",,,taxable,,1,,0,0,,,,,1,,1450,2900,"Сеты по акции",,,,,,,,,,,,0
74,simple,163,"Сет "" Корпоратив """,1,0,visible,,"<table style=""width: 127pt;"" width=""169"">
<tbody>
<tr style=""height: 15.0pt;"">
<td width=""169"" style=""width: 127pt; height: 15.0pt;"">Калифорния с крабом</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Марокко</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Тори унаги&nbsp;</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Филадельфия</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Горячий Мураками</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Горячий Юдзиро</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Горячий Акамуши</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Горячий Цезарь</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Запеченный Дзиро</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Запеченный Сансей</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Запеченный Вулкан</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">Запеченный Микадо</td>
</tr>
<tr style=""height: 15.0pt;"">
<td style=""height: 15.0pt;"">96шт, 12 порций, вес: 2600</td>
</tr>
</tbody>
</table>",,,taxable,,1,,0,0,,,,,1,,1999,3998,"Сеты по акции",,,,,,,,,,,,0
75,simple,8,"Сет №1",1,0,visible,,"<p><span style=""font-weight: bold; font-weight: bold;"">Нежная Филодельфия, Острый лосось, Банито-min.</span><br /></p>
<p style=""text-align: left;""><span style=""font-weight: bold; font-weight: bold;"">Вес670гр.</span></p>",,,taxable,,1,,0,0,,,,,1,,530,1060,"Сеты по акции",,,,,,,,,,,,0
76,simple,9,"Сет №2",1,0,visible,,"<p><span style=""font-weight: bold; font-weight: bold;"">Унаги, Сакура, Филодельфия с угрем-min</span><br /></p>
<p><span style=""font-weight: bold; font-weight: bold;"">Вес675гр</span></p>",,,taxable,,1,,0,0,,,,,1,,550,1100,"Сеты по акции",,,,,,,,,,,,0
77,simple,10,"Сет №3",1,0,visible,,"<p><span style=""font-weight: bold; font-weight: bold;"">Ролл с угрем , лососем, сливочный, снежный краб, огурец-min</span><br /></p>
<p><span style=""font-weight: bold; font-weight: bold;"">Вес: 550гр</span></p>",,,taxable,,1,,0,0,,,,,1,,450,900,"Сеты по акции",,,,,,,,,,,,0
78,simple,11,"Сет №4",1,0,visible,,"<p><span style=""font-weight: bold; font-weight: bold;"">Калифорния с лососем, Цезарь холодный, Калифорния в кунжуте, Окинава-min</span></p>
<p><span style=""font-weight: bold; font-weight: bold;"">Вес: 920гр</span></p>",,,taxable,,1,,0,0,,,,,1,,720,1440,"Сеты по акции",,,,,,,,,,,,0
79,simple,12,"Сет №5",1,0,visible,,"<p><span style=""font-weight: bold; font-weight: bold;"">Мураками, Горячий цезарь, Тибет, Горячая филодельфия2-min</span></p>
<p><span style=""font-weight: bold; font-weight: bold;"">Вес: 1000гр</span></p>",,,taxable,,1,,0,0,,,,,1,,760,1520,"Сеты по акции",,,,,,,,,,,,0
